img,label
{PATH_TO_YOUR_DATASET_DIR}/train/0001TP_006690.png,{PATH_TO_YOUR_DATASET_DIR}/trainannot/0001TP_006690.png
{PATH_TO_YOUR_DATASET_DIR}/train/0001TP_006720.png,{PATH_TO_YOUR_DATASET_DIR}/trainannot/0001TP_006720.png
{PATH_TO_YOUR_DATASET_DIR}/train/0001TP_006750.png,{PATH_TO_YOUR_DATASET_DIR}/trainannot/0001TP_006750.png
{PATH_TO_YOUR_DATASET_DIR}/train/0001TP_006780.png,{PATH_TO_YOUR_DATASET_DIR}/trainannot/0001TP_006780.png
{PATH_TO_YOUR_DATASET_DIR}/train/0001TP_006810.png,{PATH_TO_YOUR_DATASET_DIR}/trainannot/0001TP_006810.png
{PATH_TO_YOUR_DATASET_DIR}/train/0001TP_006840.png,{PATH_TO_YOUR_DATASET_DIR}/trainannot/0001TP_006840.png
{PATH_TO_YOUR_DATASET_DIR}/train/0001TP_006870.png,{PATH_TO_YOUR_DATASET_DIR}/trainannot/0001TP_006870.png
{PATH_TO_YOUR_DATASET_DIR}/train/0001TP_006900.png,{PATH_TO_YOUR_DATASET_DIR}/trainannot/0001TP_006900.png
{PATH_TO_YOUR_DATASET_DIR}/train/0001TP_006930.png,{PATH_TO_YOUR_DATASET_DIR}/trainannot/0001TP_006930.png
{PATH_TO_YOUR_DATASET_DIR}/train/0001TP_006960.png,{PATH_TO_YOUR_DATASET_DIR}/trainannot/0001TP_006960.png
{PATH_TO_YOUR_DATASET_DIR}/train/0001TP_006990.png,{PATH_TO_YOUR_DATASET_DIR}/trainannot/0001TP_006990.png
{PATH_TO_YOUR_DATASET_DIR}/train/0001TP_007020.png,{PATH_TO_YOUR_DATASET_DIR}/trainannot/0001TP_007020.png
{PATH_TO_YOUR_DATASET_DIR}/train/0001TP_007050.png,{PATH_TO_YOUR_DATASET_DIR}/trainannot/0001TP_007050.png
{PATH_TO_YOUR_DATASET_DIR}/train/0001TP_007080.png,{PATH_TO_YOUR_DATASET_DIR}/trainannot/0001TP_007080.png
{PATH_TO_YOUR_DATASET_DIR}/train/0001TP_007110.png,{PATH_TO_YOUR_DATASET_DIR}/trainannot/0001TP_007110.png
{PATH_TO_YOUR_DATASET_DIR}/train/0001TP_007140.png,{PATH_TO_YOUR_DATASET_DIR}/trainannot/0001TP_007140.png
{PATH_TO_YOUR_DATASET_DIR}/train/0001TP_007170.png,{PATH_TO_YOUR_DATASET_DIR}/trainannot/0001TP_007170.png
{PATH_TO_YOUR_DATASET_DIR}/train/0001TP_007200.png,{PATH_TO_YOUR_DATASET_DIR}/trainannot/0001TP_007200.png
{PATH_TO_YOUR_DATASET_DIR}/train/0001TP_007230.png,{PATH_TO_YOUR_DATASET_DIR}/trainannot/0001TP_007230.png
{PATH_TO_YOUR_DATASET_DIR}/train/0001TP_007260.png,{PATH_TO_YOUR_DATASET_DIR}/trainannot/0001TP_007260.png
{PATH_TO_YOUR_DATASET_DIR}/train/0001TP_007290.png,{PATH_TO_YOUR_DATASET_DIR}/trainannot/0001TP_007290.png
{PATH_TO_YOUR_DATASET_DIR}/train/0001TP_007320.png,{PATH_TO_YOUR_DATASET_DIR}/trainannot/0001TP_007320.png
{PATH_TO_YOUR_DATASET_DIR}/train/0001TP_007350.png,{PATH_TO_YOUR_DATASET_DIR}/trainannot/0001TP_007350.png
{PATH_TO_YOUR_DATASET_DIR}/train/0001TP_007380.png,{PATH_TO_YOUR_DATASET_DIR}/trainannot/0001TP_007380.png
{PATH_TO_YOUR_DATASET_DIR}/train/0001TP_007410.png,{PATH_TO_YOUR_DATASET_DIR}/trainannot/0001TP_007410.png
{PATH_TO_YOUR_DATASET_DIR}/train/0001TP_007440.png,{PATH_TO_YOUR_DATASET_DIR}/trainannot/0001TP_007440.png
{PATH_TO_YOUR_DATASET_DIR}/train/0001TP_007470.png,{PATH_TO_YOUR_DATASET_DIR}/trainannot/0001TP_007470.png
{PATH_TO_YOUR_DATASET_DIR}/train/0001TP_007500.png,{PATH_TO_YOUR_DATASET_DIR}/trainannot/0001TP_007500.png
{PATH_TO_YOUR_DATASET_DIR}/train/0001TP_007530.png,{PATH_TO_YOUR_DATASET_DIR}/trainannot/0001TP_007530.png
{PATH_TO_YOUR_DATASET_DIR}/train/0001TP_007560.png,{PATH_TO_YOUR_DATASET_DIR}/trainannot/0001TP_007560.png
{PATH_TO_YOUR_DATASET_DIR}/train/0001TP_007590.png,{PATH_TO_YOUR_DATASET_DIR}/trainannot/0001TP_007590.png
{PATH_TO_YOUR_DATASET_DIR}/train/0001TP_007620.png,{PATH_TO_YOUR_DATASET_DIR}/trainannot/0001TP_007620.png
{PATH_TO_YOUR_DATASET_DIR}/train/0001TP_007650.png,{PATH_TO_YOUR_DATASET_DIR}/trainannot/0001TP_007650.png
{PATH_TO_YOUR_DATASET_DIR}/train/0001TP_007680.png,{PATH_TO_YOUR_DATASET_DIR}/trainannot/0001TP_007680.png
{PATH_TO_YOUR_DATASET_DIR}/train/0001TP_007710.png,{PATH_TO_YOUR_DATASET_DIR}/trainannot/0001TP_007710.png
{PATH_TO_YOUR_DATASET_DIR}/train/0001TP_007740.png,{PATH_TO_YOUR_DATASET_DIR}/trainannot/0001TP_007740.png
